subset,type_name,take,put,press,release,eject,open,close,insert,detach,shake
all,verb,8665,8881,6221,5913,1563,4468,4340,5915,4345,348
train,verb,6357,6536,4616,4390,1092,3228,3126,4231,3134,231
train,left_verb,2903,2978,473,456,105,1926,2155,406,342,110
train,right_verb,3454,3558,4143,3934,987,1302,971,3825,2792,121
test,verb,1259,1281,828,766,256,618,613,920,663,56
test,left_verb,699,710,20,0,0,323,429,10,10,32
test,right_verb,560,571,808,766,256,295,184,910,653,24
valid,verb,1049,1064,777,757,215,622,601,764,548,61
valid,left_verb,586,590,2,0,0,483,495,7,7,32
valid,right_verb,463,474,775,757,215,139,106,757,541,29
